Ticker,forwardPE,sector_Basic Materials,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities,marketCapLevel_high,marketCapLevel_low,marketCapLevel_mid,growthValueType_growth,growthValueType_neutral,growthValueType_value
EW,30.87143,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
ADI,30.874004,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
LYB,7.006969,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
WMB,28.318184,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
ADSK,32.293842,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
NOW,60.62814,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
KHC,8.671042,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
STT,10.579764,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
REGN,11.611565,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
SRE,14.715954,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
EBAY,15.154216,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
ROP,28.594406,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
ALGN,18.244638,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
PSA,28.517872,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
CNC,7.893466,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
NXPI,16.675592,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
DG,17.811094,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
YUM,23.588816,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
GLW,21.818184,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
ADM,9.589743,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
MCO,36.330334,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
OKE,13.708543,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
APH,42.574074,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
ORLY,2.0419004,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
PPG,12.961581,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
PEG,19.402948,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
DFS,12.082167,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
MCK,19.136375,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
ZBH,10.990697,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
AMD,24.051962,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
TROW,10.188235,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
FTV,17.338129,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
GIS,11.626596,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
IR,23.889832,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
AVB,37.48646,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
PCG,9.983108,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
PH,22.795345,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
XEL,17.967363,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
WY,31.73837,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
PAYX,29.348772,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
ED,18.208862,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
PCAR,12.166882,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
EQR,41.28994,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
MTB,11.374692,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
LRCX,21.189697,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
WELL,82.99175,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
ROK,28.45307,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
SYF,9.344667,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
KR,14.270742,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
A,21.244247,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
MNST,33.73262,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
DLR,145.95338,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
CMI,14.488009,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
SWK,12.562842,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
FOX,21.25532,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
NTAP,13.506596,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
NTRS,14.410995,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
HLT,31.5995,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
WEC,20.226055,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
TMUS,22.153702,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
RCL,18.750175,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
IQV,13.173985,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
LVS,15.392728,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
AMP,13.311157,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
IDXX,43.791805,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
PPL,18.377048,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
NUE,13.256411,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
WDAY,30.501806,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
DVN,7.532511,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
FCX,19.474535,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
AZO,21.291836,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
RF,9.84292,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
DTE,18.68516,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
GPN,6.282422,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
PANW,27.21389,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
ES,13.790794,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
HES,18.303947,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
VRSK,42.76955,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
